"filename", "language", "C++", "Markdown", "XML", "comment", "blank", "total"
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/README.md", "Markdown", 0, 70, 0, 0, 18, 88
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/alu.cpp", "C++", 26, 0, 0, 14, 16, 56
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/alu.hpp", "C++", 3, 0, 0, 1, 0, 4
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/bus.hpp", "C++", 1, 0, 0, 0, 0, 1
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/cacheManager.cpp", "C++", 192, 0, 0, 61, 93, 346
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/cacheManager.hpp", "C++", -32, 0, 0, -31, -31, -94
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/controlUnit.cpp", "C++", 21, 0, 0, 8, 15, 44
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/controlUnit.hpp", "C++", 2, 0, 0, 0, 0, 2
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/cpu.cpp", "C++", -10, 0, 0, 8, -1, -3
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/cpu.hpp", "C++", 1, 0, 0, 0, 5, 6
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/decoder.cpp", "C++", 14, 0, 0, 0, 5, 19
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/decoder.hpp", "C++", 1, 0, 0, 0, -4, -3
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/device.cpp", "C++", 20, 0, 0, 1, 8, 29
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/device.hpp", "C++", 16, 0, 0, 1, 15, 32
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/flamegraph.svg", "XML", 0, 0, 585, 2, 24, 611
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/helpers.cpp", "C++", 44, 0, 0, 3, 7, 54
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/helpers.hpp", "C++", 63, 0, 0, 3, 9, 75
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/instruction.cpp", "C++", 146, 0, 0, 34, 37, 217
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/instruction.hpp", "C++", 38, 0, 0, 12, 22, 72
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/instruction_code_map.cpp", "C++", 21, 0, 0, 2, 3, 26
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/instruction_code_map.hpp", "C++", 3, 0, 0, 0, 0, 3
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/opcode_map.cpp", "C++", 8, 0, 0, -7, 10, 11
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/opcode_map.hpp", "C++", 21, 0, 0, 2, 6, 29
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/operands.cpp", "C++", 6, 0, 0, 4, 6, 16
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/operands.hpp", "C++", 1, 0, 0, 0, 0, 1
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/pipeline.cpp", "C++", 205, 0, 0, 30, 85, 320
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/pipeline.hpp", "C++", 124, 0, 0, 6, 75, 205
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/prova.cpp", "C++", -26, 0, 0, 123, -4, 93
"Total", "-", 909, 70, 585, 277, 419, 2260
